Name,Class,Rating,Total Rater,Facility,Price,Area
RedDoorz near ITATS University,2-star hotel,4.3,(39),"['Free Wi-Fi', 'Free parking', 'Air conditioning']",0,Surabaya
ZEN Rooms Basic Kedung Sari Wonorejo,-,-,-,[],0,Surabaya
Crystal Guesthouse,2-star hotel,4.8,(16),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly', 'Smoke-free property']",0,Surabaya
OYO 4006 Gajah Mada Trim Syariah,-,3,(6),[],0,Surabaya
RedDoorz @ MERR,2-star hotel,4.2,(55),"['Free Wi-Fi', 'Air conditioning']",0,Surabaya
Airy Syariah Gayung Kebonsari Delapan 20 Surabaya,2-star hotel,4.3,(12),['Child-friendly'],0,Surabaya
RedDoorz near Kejaksaan Negeri Surabaya,-,3.9,(13),[],0,Surabaya
Rama Tyto Alba. Airy Eco Wonokromo Bratang Gede 105 Surabaya,-,4.2,(100),[],0,Surabaya
Family Guest House,2-star hotel,4,(136),['Airport shuttle'],0,Surabaya
Whiz Prime Hotel Darmo Harapan,3-star hotel,4.1,"(2,359)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 318,002",Surabaya
Gunawangsa Hotel MERR,3-star hotel,4.3,"(4,907)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Fitness centre', 'Spa', 'Restaurant', 'Room service']","IDR 346,172",Surabaya
Hotel Gunawangsa Manyar,3-star hotel,4.4,"(5,284)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Pet-friendly', 'Fitness centre', 'Restaurant']","IDR 210,568",Surabaya
Quest Hotel Darmo Surabaya,3-star hotel,4.4,"(5,500)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Restaurant']","IDR 297,835",Surabaya
ibis Surabaya City Center,3-star hotel,4.5,"(5,171)","['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Airport shuttle']","IDR 317,413",Surabaya
ASTON Inn Jemursari,3-star hotel,4.6,(526),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Bar', 'Restaurant', 'Room service']","IDR 310,800",Surabaya
Country Heritage Resort Hotel,3-star hotel,4.2,"(2,245)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Bar', 'Restaurant']","IDR 198,400",Surabaya
ARTOTEL Surabaya,3-star hotel,4.3,"(2,458)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']","IDR 254,218",Surabaya
Swiss-Belinn Tunjungan,3-star hotel,4.6,"(7,018)","['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Fitness centre', 'Spa', 'Bar']","IDR 502,925",Surabaya
The Life Hotel,3-star hotel,4,"(1,948)","['Free breakfast', 'Free Wi-Fi', 'Restaurant', 'Room service', 'Airport shuttle', 'Full-service laundry', 'Child-friendly']","IDR 187,207",Surabaya
