Name,Class,Rating,Total Rater,Facility,Price,Area
OYO 1085 Jarrdin Apartment Cihampelas,2-star hotel,4,"(3,813)","['Free Wi-Fi', 'Free parking', 'Outdoor pool', 'Air conditioning', 'Room service', 'Kitchen in rooms', 'Full-service laundry', 'Child-friendly']","IDR 529,281",Bandung
Selaras Guest House & Restaurant,2-star hotel,4.5,(899),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Full-service laundry', 'Child-friendly']","IDR 725,177",Bandung
Hotel Unik,2-star hotel,3.5,(464),"['Free Wi-Fi', 'Free parking', 'Restaurant', 'Child-friendly']","IDR 109,184",Bandung
Home at 33 B&B,2-star hotel,4.4,(13),"['Free Wi-Fi', 'Child-friendly']","IDR 248,160",Bandung
Hotel Boulevard,2-star hotel,4.2,(332),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Restaurant', 'Room service', 'Full-service laundry', 'Child-friendly']",0,Bandung
Sky City Home,2-star hotel,4.2,(340),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Breakfast', 'Full-service laundry', 'Smoke-free property']","IDR 160,867",Bandung
Hotel Grand Tulip,2-star hotel,4.1,(587),"['Breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Room service', 'Child-friendly']",0,Bandung
RedDoorz @ Lodaya,2-star hotel,4.1,(39),"['Wi-Fi', 'Child-friendly']","IDR 119,025",Bandung
Hotel Salon Fora &LongHill Cafe Fora,2-star hotel,4.1,(706),"['Free breakfast', 'Free Wi-Fi', 'Free parking', 'Air conditioning', 'Spa', 'Restaurant', 'Room service', 'Full-service laundry']","IDR 265,000",Bandung
Hotel Mitra Mutiara Inn,2-star hotel,4,(113),"['Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 152,550",Bandung
OYO 1210 Nice Guesthouse,2-star hotel,4.4,(167),"['Free breakfast', 'Free Wi-Fi', 'Parking', 'Air conditioning', 'Child-friendly']","IDR 250,000",Bandung
Bantal Guling Asia Afrika,2-star hotel,4,(315),"['Breakfast', 'Air conditioning', 'Child-friendly']",0,Bandung
