Name,Class,Rating,Total Rater,Facility,Price,Area
Puspita Guesthouse,2-star hotel,3.3,(74),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 202,465",Jakarta
RedDoorz near Kebon Jeruk Jakarta,2-star hotel,4.4,(240),"['Free Wi-Fi', 'Parking', 'Air conditioning', 'Full-service laundry']","IDR 152,568",Jakarta
RedDoorz Plus near Tebet,2-star hotel,4.5,(258),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 470,080",Jakarta
OYO 181 Wisma Bintang,2-star hotel,3.9,(484),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry', 'Child-friendly']","IDR 89,425",Jakarta
OYO 2308 Seven Season Residence,2-star hotel,3.8,(242),"['Free Wi-Fi', 'Air conditioning', 'Full-service laundry']","IDR 113,750",Jakarta
Hotel Transit Pondok Tirta Sentosa,2-star hotel,3.8,(196),"['Free parking', 'Air conditioning', 'Room service']",0,Jakarta
OYO 1868 J&b Room Pramuka,2-star hotel,3.6,(155),"['Wi-Fi', 'Free parking', 'Air conditioning']","IDR 104,933",Jakarta
TATOR Hotel,2-star hotel,3.9,(192),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Restaurant', 'Room service']",0,Jakarta
Studio One Hotel,2-star hotel,4.1,(603),"['Free breakfast', 'Free Wi-Fi', 'Air conditioning', 'Pet-friendly', 'Full-service laundry', 'Child-friendly']",0,Jakarta
OYO 1487 Residence Khoe,2-star hotel,4.3,(242),"['Free Wi-Fi', 'Air conditioning']","IDR 144,575",Jakarta
RedDoorz @ Kebon Kacang,2-star hotel,3.9,(124),"['Wi-Fi', 'Air conditioning', 'Child-friendly']","IDR 153,188",Jakarta
OYO 3747 Comfort Residence,2-star hotel,4.1,(71),"['Free Wi-Fi', 'Free parking', 'Air conditioning']","IDR 147,145",Jakarta
RedDoorz Tanah Abang,2-star hotel,3.9,(25),"['Free Wi-Fi', 'Free parking', 'Air conditioning', 'Child-friendly']","IDR 107,259",Jakarta
RedDoorz Plus @ Karet Setiabudi,2-star hotel,4.1,(293),"['Free Wi-Fi', 'Child-friendly']",0,Jakarta
OYO 169 Kuningan 21,2-star hotel,4,(227),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']",0,Jakarta
OYO 150 Harmoni Residence,2-star hotel,3.5,(66),"['Free Wi-Fi', 'Air conditioning', 'Child-friendly']",0,Jakarta
Airy Eco Setiabudi Tengah 3 Jakarta,2-star hotel,3.8,(178),"['Free Wi-Fi', 'Parking', 'Air conditioning', 'Breakfast', 'Smoke-free property']",0,Jakarta
OYO 1990 Kost Kuningan Executive Boading House Setiabudi,2-star hotel,4.1,(117),"['Free Wi-Fi', 'Free parking', 'Air conditioning']",0,Jakarta
kost KWITANG 149,2-star hotel,3.9,(146),['Free Wi-Fi'],0,Jakarta
Airy Eco,2-star hotel,4.1,(203),"['Free Wi-Fi', 'Air conditioning', 'Parking', 'Smoke-free property']",0,Jakarta
